"studyid","invid","InvestigatorFirstName","InvestigatorLastName","site_status","site_active_dt","City","State","Country"
"AA-AA-000-0000","0X9360","Fred","Smith","Active",2012-01-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X958","Fred","Deer","Active",2012-01-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X2170","John","Deer","Active",2012-01-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X5895","Joanne","Deer","Active",2012-01-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X1257","Joanne","Doe","Active",2012-01-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X8799","John","Doe","Active",2012-01-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X4590","John","Smith","Active",2012-01-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X4629","John","Doe","Active",2012-01-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X9346","John","Doe","Active",2012-01-01,"London","Greater London","UK"
"AA-AA-000-0000","0X2901","Joanne","Doe","Active",2012-01-01,"Foster City","CA","US"
"AA-AA-000-0000","0X9737","Joanne","Doe","Active",2012-01-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X9142","Joanne","Smith","Active",2012-01-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X3989","Fred","Smith","Active",2012-01-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X9580","Joanne","Deer","Active",2012-01-01,"London","Greater London","UK"
"AA-AA-000-0000","0X9858","Joanne","Doe","Active",2012-01-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X8786","Fred","Deer","Active",2012-01-01,"Foster City","CA","US"
"AA-AA-000-0000","0X8625","Fred","Deer","Active",2012-01-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X6900","Fred","Deer","Active",2012-01-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X759","John","Smith","Active",2012-01-01,"Foster City","CA","US"
"AA-AA-000-0000","0X3289","Joanne","Deer","Active",2012-01-01,"Foster City","CA","US"
"AA-AA-000-0000","0X1750","Joanne","Smith","Active",2012-01-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X3909","Fred","Smith","Active",2012-01-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X2323","Fred","Smith","Active",2012-01-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X4264","Fred","Deer","Active",2012-01-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X1982","Fred","Smith","Active",2012-01-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X8764","John","Smith","Active",2012-01-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X4959","Fred","Doe","Active",2012-01-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X8517","Fred","Smith","Active",2012-01-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X2532","Fred","Doe","Active",2012-01-01,"Foster City","CA","US"
"AA-AA-000-0000","0X6603","Joanne","Smith","Active",2012-01-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X7983","Joanne","Smith","Active",2012-01-01,"Foster City","CA","US"
"AA-AA-000-0000","0X1910","Fred","Deer","Active",2012-01-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X8091","Joanne","Smith","Active",2012-01-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X3090","John","Smith","Active",2012-01-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X2192","John","Deer","Active",2012-01-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X101","John","Deer","Active",2012-01-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X213","Fred","Smith","Active",2012-01-01,"London","Greater London","UK"
"AA-AA-000-0000","0X4485","Fred","Doe","Active",2012-01-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X8788","Fred","Deer","Active",2012-01-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X8351","John","Deer","Active",2012-01-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X6405","John","Doe","Active",2012-01-01,"Foster City","CA","US"
"AA-AA-000-0000","0X8633","Fred","Smith","Active",2012-01-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X7809","Joanne","Deer","Active",2012-01-01,"Kumamoto","Kumamoto Prefecture","Japan"
